,city,country,latitude,longitude,max_temp,humidity,cloudiness,wind_speed,date
334,radcliff,us,37.84,-85.95,87.01,45.0,1,4.7,1596917420
335,ashtabula,us,41.7,-80.77,81,57.0,1,4.7,1596917670
336,pauri,in,30.15,78.78,67.64,99.0,100,1.36,1596917670
337,akdepe,tm,42.06,59.38,80.6,50.0,14,6.93,1596917670
338,machico,pt,32.7,-16.77,73.4,78.0,40,11.41,1596917670
339,ensenada,mx,31.87,-116.62,81.91,44.0,14,11.34,1596917438
340,alghero,it,40.56,8.32,77,69.0,5,4.7,1596917670
341,totness,sr,5.88,-56.32,83.37,79.0,31,6.89,1596917670
342,mogok,mm,22.92,96.5,66.63,100.0,100,2.66,1596917671
343,tumpat,my,6.2,102.17,78.8,94.0,20,2.24,1596917431
344,kaiyuan,cn,23.7,103.3,68.22,87.0,100,4.76,1596917671
345,cap-haitien,ht,19.76,-72.2,87.8,70.0,40,13.87,1596917671
346,tuy hoa,vn,13.08,109.3,78.33,80.0,69,10.36,1596917671
347,fort-shevchenko,kz,44.51,50.26,80.58,53.0,0,9.95,1596917671
348,takab,ir,36.4,47.11,62.4,47.0,0,6.08,1596917375
349,myanaung,mm,18.28,95.32,76.86,94.0,100,6.17,1596917671
350,krasnyy bogatyr,ru,56.01,41.13,57.56,97.0,55,4.94,1596917671
351,alamosa,us,37.47,-105.87,84.2,11.0,1,11.41,1596917672
352,de-kastri,ru,51.47,140.78,53.71,73.0,0,2.66,1596917672
353,uniontown,us,39.9,-79.72,86,36.0,81,1.99,1596917592
354,dalen,no,52.7,6.76,80.01,57.0,98,1.01,1596917672
355,izamal,mx,20.93,-89.02,95,47.0,75,9.17,1596917651
356,vasilsursk,ru,56.13,46.01,54,95.0,0,5.17,1596917423
357,bongandanga,cd,1.5,21.05,72.14,96.0,92,2.04,1596917672
358,xuanwu,cn,32.07,118.81,84.2,89.0,100,4.47,1596917672
359,niono,ml,14.25,-5.99,79.11,79.0,100,2.62,1596917672
360,medford,us,42.33,-122.88,84.99,28.0,1,8.05,1596917443
361,kibondo,tz,-3.59,30.72,69.08,44.0,85,4.74,1596917672
362,witbank,za,-25.87,29.23,49.46,58.0,0,9.31,1596917672
363,issoudun,fr,47,1.83,86,45.0,0,5.82,1596917672
364,linjiang,cn,41.81,126.91,64.56,88.0,16,2.93,1596917672
365,namibe,ao,-15.2,12.15,61.2,85.0,25,12.44,1596917673
366,xining,cn,36.62,101.77,55.6,59.0,0,2.91,1596917673
367,tocache,pe,-8.18,-76.51,90.5,35.0,15,1.97,1596917673
368,podyuga,ru,61.09,40.86,54.3,97.0,5,4.63,1596917673
369,ulety,ru,51.36,112.48,49.66,91.0,71,3.56,1596917673
370,ibotirama,br,-12.19,-43.22,84.97,31.0,56,6.58,1596917673
371,siyabuswa,za,-25.11,29.04,51.33,64.0,0,4.07,1596917673
372,sao miguel,br,-5.47,-35.37,78.8,69.0,20,10.29,1596917673
373,melfort,ca,52.87,-104.62,66.2,59.0,90,18.34,1596917673
